cellImageLink,commonName,cellDescription,cellShortDescription,iucnRedListCategory,family,parentFamilly,wikipediaLink
,Acropora Tabulate,"Plates made from branchlets with large terminal polyps

Often has a paler border

Creates table and tier like structures with single hold fast",,,Acropora Tabulate,Acropora,none
,Acropora Submassive,"Large terminal polyp

Little or no secondary branching

Some species also termed ‘digitate’ because of finger like appearance",,,Acropora Submassive,Acropora,none
,Acropora Encrusting,"Irregular cup corallites that are smooth and rounded

No terminal polyp

Looks like lumpy paint on the substrate

Rarely seen unless in high energy environments",,,Acropora Encrusting,Acropora,none
,Coral Branching,"No terminal polyp

Secondary branching present

Branches variable; untidy, irregular, stalks, tubular, flattened, blunt ",,,Coral Branching,Non Acropora,
,Coral Massive,"Large solid structures, often form boulder shapes

May be meandering, have shared/separate/no walls

Includes “sub-massive” morphologies, which are similar to Massive but ‘lumpier’ ",,,Coral Massive,Non Acropora,
,Coral Encrusting,"Follows the contours of substrate

Usually has a pale border that does not turn up at the edges

Like paint on the surface of substrate, usually has rounded corallites or thin meanders",,,Coral Encrusting,Non Acropora,
,Coral Foliose,"Thin plate colonies growing in laminar or vase shaped tiered plates above substrate

May have meandering or ragged corallites

Structures often have whorl-like or ‘plate’ structures",,,Coral Foliose,Non Acropora,
,Coral Submassive,"Generally associated with high energy environments

Columns may be tall and short with blunted ends

Tends to have granular structure, occasionally with daytime extended polyps",,,Coral Submassive,Non Acropora,
,Coral Mushroom,"Free-living, single polyps that are unattached to the reef

Thin radiating ridges radiating from a central groove (mouth)

Resemble upturned mushrooms",,,Coral Mushroom,Non Acropora,
,Soft Corals,"Do not produce calcium carbonate skeletons, but instead contain sclerites

Most thrive in nutrient rich waters with less intense light

Almost all utilise zooxanthellae as major energy source, as well as free floating food",,,Alcyonacea,Non Acropora,
,Fire Coral,"Belongs to the order Hydroida, genus Millipore

Often sub-massive, branching or foliose morphology

Yellow brown colour with pale edge tips

Surface smooth and polyps extend as ‘fine hairs’",,,Millepora dichotoma,Coral Famillies,https://en.wikipedia.org/wiki/Fire_coral
,Blue Coral,"An Octocoral in the genus Heliopora, very small polyps and pores

May be confused with fire coral but has more of a grey colour

When broken a blue skeleton is revealed

Colonies may be massive, branching or columnar",,,Heliopora coerulea,Coral Famillies,https://en.wikipedia.org/wiki/Blue_coral
,Zoanthids,"Commonly found in coral reefs, deep sea and many other environments

Variety of colonizing formations and colours, tentacles in two distinct rows

Found as individual polyps attached by fleshy stolon, incorporating sand and rock

Very durable in many water conditions",,,Zoantharia,Coral Famillies,https://en.wikipedia.org/wiki/Zoantharia
,Organ Pipe Coral,"Octocoral, Turbipora, with eight visible tentacles that will retract

Colonies are massive, made of tubes connected by horizontal platforms

Underlying skeleton is dark red and tentacles are feather like",,,Tubipora musica,Coral Famillies,https://en.wikipedia.org/wiki/Organ_pipe_coral
,Daytime Polyp Coral,"Some genre of Scleratinia have large daytime expanded polyps

These may be massive, branching, meandering or solitary

Polyps may be flower-like, grape-like or anemone like",,,Daytime Polyp Coral,Coral Famillies,none
,Corallimorpharia,"Closely related to reef building corals (Scleractinia)

Narrow column topped with a large oral disc

Tentacles short and arranged in rows radiating from the mouth

Associated with a phase shift in ecosystems from a hard to a soft coral dominated reef ",,,Corallimorpharia,Coral Famillies,https://en.wikipedia.org/wiki/Corallimorpharia
,Anemones,"A group of predatory animals, many of which for symbiotic relationships with dinoflagellates

Sessile polyps attached by a single foot, with a column shaped body ending in an oral disc

Tentacles armed with cnidocytes/nematocytes",,,Anemones,Coral Famillies,https://en.wikipedia.org/wiki/Sea_anemone
,Black Coral,"Black corals are of the Order Antipatharia, related to anemones

Black Coral & Sea Fans have similar morphologies, tree-like structures or sea whip structures

Black Coral & Sea Fans can host many other species and eggs",,,Antipatharia,Coral Famillies,https://en.wikipedia.org/wiki/Black_coral
,Sea Fans,"Sea fans (gorgonians) are of the soft coral Order Alcyonacea

Black Coral & Sea Fans have similar morphologies, tree-like structures or sea whip structures

Black Coral & Sea Fans can host many other species and eggs",,,Alcyonacea,Coral Famillies,https://en.wikipedia.org/wiki/Gorgonian
,Lace Coral,"Order Stylasterina, with a thick layer of tissue over their skeleton

Tree like in overhangs or caves; pink purple or orange

Blunt or fine pointed branches and covered in fine hairs",,,Lace Coral,Coral Famillies,http://creationwiki.org/Lace_coral
,Hydroids,"Fern like colonies attached to substrate

Most of the polyps are feeding polyps

Epidermis secretes chitinous  ‘skeleton’",,,Hydroids,Coral Famillies,https://en.wikipedia.org/wiki/Hydroid_(zoology)
,Sponge,"Bodies are full of pores and channels allowing water to circulate through them

Have unspecialized cells that can transform into other types

Sponges do not have nervous, digestive or circulatory systems.

Rely on maintaining a constant water flow through their bodies to obtain food and oxygen and to remove wastes.",,,Porifera,Coral Famillies,https://en.wikipedia.org/wiki/Sponge
,Macro algae,"Marine algae divided into 4 groups; Blue-green (turf), red, brown, green

This is further divided into microalgae (bacteria) and macro algae (very variable)

All other conspicuous algae are surveyed as Macroalgae (MA)

They  may display a large aray of shapes and colorations",,,Macro algae,Coral Famillies,https://en.wikipedia.org/wiki/Seaweed
,Coralline algae,"Heavily calcified pink algae, disks stacked on top of each other

Form a solid stem of interconnected plates all

Originate from a single “stalk”

Looks like it has been painted on",,,Coralline algae,Coral Famillies,https://en.wikipedia.org/wiki/Coralline_algae
